Situação;Descrição;Código;Código NCM;CEST;Peso Líquido;Peso Bruto;Altura;Largura;Profundidade;Marca;Modelo;Prazo de calibração;Dias de Crossdocking;Cupom Fiscal (PDV);Marketplace;Tipo do Item (Bloco K);Características
Ativo;TALHA MANUAL BERG STEEL COMPACTA NT-8 - 3 TON 3 METROS - 19 KG (PAT1364);PAT1364;8425.19.10;;0;0;0;0;0;BERG STEEL;COMPACTA NT-8;0;0;Não;Não;08 - Ativo Imobilizado;Tipo: Acessório de movimentação de cargas, Faixa de Medição: 3 Toneladas - 3 Metros, Data da Próxima Calibração: 21/08/2026, Situação de uso: Apto
Ativo;TALHA MANUAL BERG STEEL COMPACTA NT-8 - 3 TON 3 METROS - 19 KG (PAT1365);PAT1365;8425.19.10;;0;0;0;0;0;BERG STEEL;COMPACTA NT-8;0;0;Não;Não;08 - Ativo Imobilizado;Tipo: Acessório de movimentação de cargas, Carga: 3 Toneladas - 3 Metros, Data da Próxima Calibração: 21/08/2026
Ativo;TALHA MANUAL BERG STEEL COMPACTA NT-8 - 3 TON 3 METROS - 19 KG (PAT1366);PAT1366;8425.19.10;;0;0;0;0;0;BERG STEEL;COMPACTA NT-8;0;0;Não;Não;08 - Ativo Imobilizado;Tipo: Acessório de movimentação de cargas, Carga: 3 Toneladas - 3 Metros, Data da Próxima Calibração: 21/08/2026, Situação de uso: Apto
Ativo;TALHA MANUAL BERG STEEL COMPACTA NT-8 - 3 TON 3 METROS - 19 KG (PAT1367);PAT1367;8425.19.10;;0;0;0;0;0;BERG STEEL;COMPACTA NT-8;0;0;Não;Não;08 - Ativo Imobilizado;Tipo: Acessório de movimentação de cargas, Data da Próxima Calibração: 21/08/2026, Situação de uso: Apto
Ativo;SACA POLIA GEDORE (PAT1368);PAT1368;8205.59.00;08.010.00;0;0;0;0;0;GEDORE;NÃO INFORMADO;0;0;Não;Não;08 - Ativo Imobilizado;
Ativo;SACA POLIA GEDORE (PAT1369);PAT1369;8205.59.00;08.010.00;0;0;0;0;0;GEDORE;NÃO INFORMADO;0;0;Não;Não;08 - Ativo Imobilizado;
Ativo;"CALIBRADOR DE ROSCA TAMPAO KINGTOOLS 14 FIOS - NPT 1/2"" - GO AND NO GO - 0,15KG (PAT1370)";PAT1370;9017.30.90;;0;0;0;0;0;KINGTOOLS;"NPT 1/2"" - GO AND NO GO";0;0;Não;Não;08 - Ativo Imobilizado;"Polegada: 1/2"", Tipo: Mecânico, Faixa de Medição: 14 FIOS - NPT, Inc. Total (inc.+erro) (mm): Ver FR.QLD.018, Erro Máximo Permissível (mm): Ver FR.QLD.018, Erro/ Desvio (mm): Ver FR.QLD.018, Incerteza da Medição (mm): Ver FR.QLD.018, Data da Última Calibração: 07/11/2025, Data da Próxima Calibração: 07/11/2026"
Inativo;"CALIBRADOR DE ROSCA TAMPAO KINGTOOLS NPT 3/4"" - GO AND NO GO - 0,15KG (PAT1371)";PAT1371;9017.30.90;;0;0,15;0;0;0;KINGTOOLS;"NPT 3/4"" - GO AND NO GO";2;0;Não;Não;08 - Ativo Imobilizado;"Polegada: 3/4"", Tipo: Mecânico, Faixa de Medição: 14 FIOS - NPT, Inc. Total (inc.+erro) (mm): Ver FR.QLD.018, Erro Máximo Permissível (mm): Ver FR.QLD.018, Erro/ Desvio (mm): Ver FR.QLD.018, Incerteza da Medição (mm): Ver FR.QLD.018, Situação de uso: Necessita de calibração"
Inativo;"CALIBRADOR DE ROSCA TAMPAO KINGTOOLS NPT 1/8"" - GO AND NO GO - 0,26 KG (PAT1372)";PAT1372;9017.30.90;;0;0;0;0;0;;;2;0;Não;Não;08 - Ativo Imobilizado;"Polegada: 1/8"", Faixa de Medição: 27 FIOS - NPT, Inc. Total (inc.+erro) (mm): Ver FR.QLD.018, Erro Máximo Permissível (mm): Ver FR.QLD.018, Erro/ Desvio (mm): Ver FR.QLD.018, Incerteza da Medição (mm): Ver FR.QLD.018"
Inativo;"CALIBRADOR DE ROSCA TAMPAO KINGTOOLS BSP - 1¹/2"" - GO AND NO GO - 0,76KG (PAT1373)";PAT1373;9017.30.90;;0;0,76;0;0;0;KINGTOOLS;GO AND NO GO;2;0;Não;Não;08 - Ativo Imobilizado;"Polegada: 1¹/2"", Faixa de Medição: 11 FIOS - BSP, Inc. Total (inc.+erro) (mm): Ver FR.QLD.018, Erro Máximo Permissível (mm): Ver FR.QLD.018, Erro/ Desvio (mm): Ver FR.QLD.018, Incerteza da Medição (mm): Ver FR.QLD.018"
